participant_id,survey_source,topic,state,year,state_year_topic,perception,owner_party,own_013,cond1_z,cond2_z,condition_index_z,net_gub_approve_z,condition_1,condition_2,pid,gub_copartisan,owning_party_governor,copartisan_owned_governor,ideo3,white,black,male,bachelors,age_group,weight
kff16200928,kff16_aca,ACA,TN,2016,TN_2016_ACA,0,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,2,0,0,0,1,1,0,1,0,2,1.868763613
kff16200931,kff16_aca,ACA,LA,2016,LA_2016_ACA,1,D,2,0.014052687,0.300095475,0.213755945,-1.674739108,enroll_pct_of_uninsured2010,premium,1,1,1,1,3,1,0,1,0,1,1.538374466
kff16200950,kff16_aca,ACA,NA,2016,NA_2016_ACA,0,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,2,NA,NA,NA,1,1,0,0,1,2,1.001492102
kff16200951,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,1,2,0.712401598
kff16200955,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,1,0,2,2.302399369
kff16200959,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,0,0,0,0,1,2.415970638
kff16200963,kff16_aca,ACA,TN,2016,TN_2016_ACA,0,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,1,0,1,2.054607509
kff16200968,kff16_aca,ACA,NA,2016,NA_2016_ACA,1,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,3,NA,NA,NA,1,1,0,0,0,1,1.331881249
kff16200977,kff16_aca,ACA,TN,2016,TN_2016_ACA,0,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,1.600322431
kff16200985,kff16_aca,ACA,ND,2016,ND_2016_ACA,1,D,0,0.49802742,0.51299891,0.687933006,2.210044529,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,0,0,2,2.415970638
kff16200993,kff16_aca,ACA,ND,2016,ND_2016_ACA,1,D,0,0.49802742,0.51299891,0.687933006,2.210044529,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,0,1,1,2,0.382012451
kff16200994,kff16_aca,ACA,MS,2016,MS_2016_ACA,1,D,0,-0.476914606,0.985089136,0.345777376,0.838263678,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,1,0,1,2.415970638
kff16201008,kff16_aca,ACA,NA,2016,NA_2016_ACA,1,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,3,NA,NA,NA,3,1,0,1,0,1,1.899737596
kff16201023,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,3,0.722726259
kff16201033,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,0,1,0,1,1.620971753
